question_number,answers,question_type,question_id,is_new,learning_outcome,bloom_level
q01,a,mc,13f6ebe0,0,LO21_enzymes,remember
q02,b,mc,d7b51b4d,0,LO21_enzymes,understand
q03,c,mc,8e9c26af,0,LO21_enzymes,remember
q04,d,mc,c6061a8c,0,LO21_enzymes,apply
q05,e,mc,c3d4e501,1,LO22_thermodynamics,understand
q06,a,mc,cf9f240e,0,LO21_enzymes,apply
q07,abcde,sa,c3d4e502,1,LO21_enzymes,understand
q08,abcde,sa,f60eec24,0,LO21_enzymes,understand
q09,b,mc,f801e058,0,LO22_thermodynamics,remember
q10,abcde,sa,f01e7d17,0,LO21_enzymes,apply
q11,c,mc,c3d4e503,1,LO22_thermodynamics,understand
q12,d,mc,d239aef3,0,LO21_enzymes,understand
q13,e,mc,ab26e1d9,0,LO22_thermodynamics,remember
q14,a,mc,c3d4e504,1,LO22_thermodynamics,understand
q15,b,mc,19215e3b,0,LO23_glycolysis,remember
q16,c,mc,oxphos01,0,LO25_electron_transport,remember
q17,d,mc,887bb27b,0,LO24_krebs_cycle,remember
q18,e,mc,glyc_pyr,0,LO23_glycolysis,remember
q19,a,mc,41493cc1,0,LO25_electron_transport,understand
q20,b,mc,ferm_nad,0,LO26_fermentation,remember
q21,abcde,sa,aer_mol,0,LO23_glycolysis,understand
q22,c,mc,19215e3b,0,LO23_glycolysis,apply
q23,d,mc,3d37255d,0,LO24_krebs_cycle,remember
q24,e,mc,e42756ad,0,LO25_electron_transport,understand
q25,a,mc,c3d4e505,1,LO26_fermentation,understand
q26,b,mc,548c6de1,0,LO23_glycolysis,remember
q27,c,mc,860abf64,0,LO24_krebs_cycle,remember
q28,d,mc,93ea803f,0,LO25_electron_transport,understand
q29,e,mc,ef6706a6,0,LO25_electron_transport,apply
q30,a,mc,7e421183,0,LO24_krebs_cycle,remember
q31,b,mc,o2_role1,0,LO25_electron_transport,understand
q32,c,mc,b51889ef,0,LO25_electron_transport,apply
q33,d,mc,c3d4e506,1,LO25_electron_transport,understand
q34,e,mc,2788ea43,0,LO28_calvin_cycle,remember
q35,a,mc,21f66dec,0,LO27_light_reactions,understand
q36,b,mc,4478b7c2,0,LO29_c3c4cam,understand
q37,c,mc,e44c0a93,0,LO27_light_reactions,understand
q38,d,mc,c3d4e507,1,LO28_calvin_cycle,remember
q39,e,mc,atp_ndph,0,LO27_light_reactions,remember
q40,a,mc,1f316f74,0,LO27_light_reactions,understand
q41,abcde,sa,c3d4e508,1,LO27_light_reactions,understand
q42,b,mc,9f6fee7e,0,LO27_light_reactions,remember
q43,c,mc,b8dcb058,0,LO27_light_reactions,understand
q44,d,mc,chl_ab01,0,LO27_light_reactions,remember
q45,e,mc,4d28e0a7,0,LO27_light_reactions,remember
q46,a,mc,12fb89dd,0,LO28_calvin_cycle,remember
q47,b,mc,c3d4e509,1,LO28_calvin_cycle,remember
q48,abcde,sa,16ea18a8,0,LO29_c3c4cam,understand
q49,c,mc,20199b89,0,LO27_light_reactions,apply
q50,d,mc,c3d4e510,1,LO29_c3c4cam,apply